index	name	lam	centerlam	bandwidth	response	group
0	u	3005.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3010.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3015.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3020.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3025.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3030.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3035.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3040.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3045.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3050.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3055.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3060.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3065.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3070.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3075.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3080.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3085.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3090.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3095.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3100.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3105.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3110.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3115.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3120.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3125.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3130.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3135.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3140.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3145.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3150.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3155.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3160.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3165.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3170.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3175.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3180.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3185.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3190.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3195.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3200.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3205.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3210.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3215.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3220.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3225.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3230.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3235.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3240.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3245.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3250.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3255.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3260.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3265.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3270.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3275.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3280.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3285.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3290.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3295.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3300.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3305.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3310.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3315.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3320.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3325.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3330.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3335.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3340.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3345.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3350.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3355.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3360.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3365.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3370.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3375.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3380.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3385.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3390.0	3556.492837869254	3747.238481188844	0.0	sdt_default
0	u	3395.0	3556.492837869254	3747.238481188844	0.0	sdt_default
