col1,col2
453.0,9.5000001465451e-07
454.0,9.5000001465451e-07
455.0,9.5000001465451e-07
456.0,9.5000001465451e-07
457.0,1.1505600014061e-05
458.0,9.5000001465451e-07
459.0,9.5000001465451e-07
460.0,9.5000001465451e-07
461.0,9.5000001465451e-07
462.0,9.5000001465451e-07
463.0,9.5000001465451e-07
464.0,9.5000001465451e-07
465.0,9.5000001465451e-07
466.0,9.5000001465451e-07
467.0,9.5000001465451e-07
468.0,9.5000001465451e-07
469.0,9.5000001465451e-07
470.0,9.5000001465451e-07
471.0,9.5000001465451e-07
472.0,9.5000001465451e-07
473.0,9.5000001465451e-07
474.0,9.5000001465451e-07
475.0,9.5000001465451e-07
476.0,9.5000001465451e-07
477.0,9.5000001465451e-07
478.0,9.5000001465451e-07
479.0,9.5000001465451e-07
480.0,9.5000001465451e-07
481.0,1.7251200006285e-06
482.0,9.5000001465451e-07
483.0,9.5000001465451e-07
484.0,9.5000001465451e-07
485.0,9.5000001465451e-07
486.0,9.5000001465451e-07
487.0,9.5000001465451e-07
488.0,1.6859399920577e-06
489.0,9.5000001465451e-07
490.0,9.5000001465451e-07
491.0,9.5000001465451e-07
492.0,9.5000001465451e-07
493.0,9.5000001465451e-07
494.0,9.5000001465451e-07
495.0,9.5000001465451e-07
496.0,9.5000001465451e-07
497.0,9.5000001465451e-07
498.0,9.5000001465451e-07
499.0,9.5000001465451e-07
500.0,9.5000001465451e-07
501.0,9.5000001465451e-07
502.0,9.5000001465451e-07
503.0,9.5000001465451e-07
504.0,9.5000001465451e-07
505.0,9.5000001465451e-07
506.0,9.5000001465451e-07
507.0,9.5000001465451e-07
508.0,9.5000001465451e-07
509.0,9.5000001465451e-07
510.0,9.5000001465451e-07
511.0,9.5000001465451e-07
512.0,9.5000001465451e-07
513.0,9.5000001465451e-07
514.0,9.5000001465451e-07
515.0,9.5000001465451e-07
516.0,9.5000001465451e-07
517.0,9.5000001465451e-07
518.0,9.5000001465451e-07
519.0,2.2388101115212e-06
520.0,9.5000001465451e-07
521.0,9.5000001465451e-07
522.0,9.5000001465451e-07
523.0,2.887350092351e-06
524.0,9.5000001465451e-07
525.0,9.5000001465451e-07
526.0,9.5000001465451e-07
527.0,9.5000001465451e-07
528.0,9.5000001465451e-07
529.0,9.5000001465451e-07
530.0,9.5000001465451e-07
531.0,9.5000001465451e-07
532.0,9.5000001465451e-07
533.0,2.0287200186431e-06
534.0,1.8453199572832e-06
535.0,2.1845301034773e-06
536.0,6.113019935583e-06
537.0,2.0863699319307e-06
538.0,9.5000001465451e-07
539.0,9.5000001465451e-07
540.0,9.5000001465451e-07
541.0,9.5000001465451e-07
542.0,9.5000001465451e-07
543.0,9.5000001465451e-07
544.0,9.5000001465451e-07
545.0,9.5000001465451e-07
546.0,1.0120400020242e-06
547.0,1.7301099433098e-06
548.0,4.1709099605214e-06
549.0,1.1457599612186e-05
550.0,4.4133001210866e-05
551.0,0.00020286699873395
552.0,0.0013016399461776
553.0,0.013671300373971
554.0,0.25157099962234
555.0,0.95824402570724
556.0,0.98808997869492
557.0,0.9869350194931
558.0,0.98542100191116
559.0,0.99730598926544
560.0,0.98607897758484
561.0,0.98917901515961
562.0,0.99401199817657
563.0,0.99046701192856
564.0,0.98144298791885
565.0,0.99092400074005
566.0,0.99142098426819
567.0,0.98329502344131
568.0,0.98463499546051
569.0,0.99004298448563
570.0,0.9920499920845
571.0,0.99054700136185
572.0,0.98481899499893
573.0,0.9840469956398
574.0,0.99143600463867
575.0,0.99270802736282
576.0,0.98973900079727
577.0,0.98577302694321
578.0,0.98904997110367
579.0,0.99262499809265
580.0,0.98629301786423
581.0,0.9797660112381
582.0,0.98435497283936
583.0,0.98716902732849
584.0,0.98706197738647
585.0,0.97881102561951
586.0,0.97105598449707
587.0,0.97160702943802
588.0,0.98209899663925
589.0,0.98741501569748
590.0,0.99151402711868
