col1,col2
444.0,0.98729801177979
444.5,0.98712998628616
445.0,0.98716300725937
445.5,0.98732399940491
446.0,0.98716098070145
446.5,0.9870600104332
447.0,0.9872750043869
447.5,0.98767101764679
448.0,0.98732799291611
448.5,0.98751497268677
449.0,0.98768901824951
449.5,0.9879509806633
450.0,0.98801797628403
450.5,0.98852497339249
451.0,0.98882102966309
451.5,0.98829597234726
452.0,0.98881202936172
452.5,0.98943400382996
453.0,0.98859000205994
453.5,0.98909598588943
454.0,0.98852300643921
454.5,0.98888599872589
455.0,0.98808097839355
455.5,0.98736900091171
456.0,0.98711097240448
456.5,0.98694401979446
457.0,0.98705798387527
457.5,0.98747700452805
458.0,0.98853099346161
458.5,0.98852002620697
459.0,0.98911100625992
459.5,0.98863101005554
460.0,0.98834002017975
460.5,0.98774701356888
461.0,0.9870520234108
461.5,0.98699802160263
462.0,0.98687499761581
462.5,0.98710197210312
463.0,0.9867730140686
463.5,0.98689198493958
464.0,0.98656100034714
464.5,0.98627299070358
465.0,0.98606097698212
465.5,0.98555600643158
466.0,0.98638999462128
466.5,0.98591899871826
467.0,0.98632001876831
467.5,0.98657697439194
468.0,0.98723900318146
468.5,0.98811900615692
469.0,0.98844397068024
469.5,0.98906099796295
470.0,0.98914301395416
470.5,0.98886799812317
471.0,0.98841601610184
471.5,0.98800802230835
472.0,0.98703199625015
472.5,0.98655098676682
473.0,0.98645502328873
473.5,0.98606097698212
474.0,0.98564398288727
474.5,0.98632299900055
475.0,0.98643398284912
475.5,0.98704600334167
476.0,0.9875699877739
476.5,0.98774200677872
477.0,0.98889100551605
477.5,0.98937499523163
478.0,0.98971897363663
478.5,0.99002802371979
479.0,0.99011099338531
479.5,0.990473985672
480.0,0.99023902416229
480.5,0.99005800485611
481.0,0.98964601755142
481.5,0.98978102207184
482.0,0.99012899398804
482.5,0.99001097679138
483.0,0.99005800485611
483.5,0.9899640083313
484.0,0.99011701345444
484.5,0.99020397663116
485.0,0.989786028862
485.5,0.98980098962784
486.0,0.98956400156021
486.5,0.9899759888649
487.0,0.98925399780273
487.5,0.98927700519562
488.0,0.98911702632904
488.5,0.98909097909927
489.0,0.98927998542786
489.5,0.98961502313614
490.0,0.99035400152206
490.5,0.99047601222992
491.0,0.99020898342133
491.5,0.99018597602844
492.0,0.98997098207474
492.5,0.98969697952271
493.0,0.98873502016068
493.5,0.9886440038681
494.0,0.98797100782394
494.5,0.98829501867294
495.0,0.98861402273178
495.5,0.98850202560425
496.0,0.98851299285889
496.5,0.98892498016357
497.0,0.98844599723816
497.5,0.98897302150726
498.0,0.98873198032379
498.5,0.98892998695374
499.0,0.98955398797989
499.5,0.98996102809906
500.0,0.98993402719498
500.5,0.98875600099564
501.0,0.98760098218918
501.5,0.98521602153778
502.0,0.98292601108551
502.5,0.98098599910736
503.0,0.97885602712631
503.5,0.97751700878143
504.0,0.97803401947021
504.5,0.97857701778412
505.0,0.98025900125504
505.5,0.98217499256134
506.0,0.9843710064888
506.5,0.98623299598694
507.0,0.98799097537994
507.5,0.98926997184753
508.0,0.99000400304794
508.5,0.98998200893402
509.0,0.98976099491119
509.5,0.98891699314117
510.0,0.98807597160339
510.5,0.98720800876617
511.0,0.98639297485352
511.5,0.98550897836685
512.0,0.98488402366638
512.5,0.98543298244476
513.0,0.98542100191116
513.5,0.98627698421478
514.0,0.98692601919174
514.5,0.98734301328659
515.0,0.9877610206604
515.5,0.9883040189743
516.0,0.98841500282288
516.5,0.98865401744843
517.0,0.98877400159836
517.5,0.98906397819519
518.0,0.98948401212692
518.5,0.98955899477005
519.0,0.98920702934265
519.5,0.98817199468613
520.0,0.98666602373123
520.5,0.9841970205307
521.0,0.98198002576828
521.5,0.97993397712708
522.0,0.97833502292633
522.5,0.97737401723862
523.0,0.97729200124741
523.5,0.97802698612213
524.0,0.97972798347473
524.5,0.98164200782776
525.0,0.98333501815796
525.5,0.98459601402283
526.0,0.98597097396851
526.5,0.98629301786423
527.0,0.98704302310944
527.5,0.98749297857285
528.0,0.98782402276993
528.5,0.98748499155045
529.0,0.98752200603485
529.5,0.98700302839279
530.0,0.98660099506378
530.5,0.98553502559662
531.0,0.98429900407791
531.5,0.98422998189926
532.0,0.98383897542953
532.5,0.98417097330093
533.0,0.98501002788544
533.5,0.98546302318573
534.0,0.98554700613022
534.5,0.98571401834488
535.0,0.98552799224854
535.5,0.98565000295639
536.0,0.98603600263596
536.5,0.98655897378922
537.0,0.98721700906754
537.5,0.9870600104332
538.0,0.98640698194504
538.5,0.9850350022316
539.0,0.98157399892807
539.5,0.97781598567963
540.0,0.97452700138092
540.5,0.97233301401138
541.0,0.97093200683594
541.5,0.9719409942627
